time,open,high,low,close,volume
2024-11-11,190.06,195.16,183.14,193.47,310377.742
2024-11-12,193.44,196.86,172.51,179.17,445954.983
2024-11-13,179.28,187.85,167.13,173.21,364844.348
2024-11-14,173.2,176.89,155.63,158.13,265381.383
2024-11-15,158.16,166.49,150.6,164.4,490115.668
2024-11-16,164.4,175.73,163.05,168.95,241607.473
2024-11-17,168.96,172.4,159.44,161.98,217380.757
2024-11-18,162.0,173.24,161.14,170.78,229339.926
2024-11-19,170.77,173.43,158.55,161.95,213799.687
2024-11-20,161.99,168.0,153.24,156.77,200571.661
2024-11-21,156.78,170.85,151.86,169.23,285392.265
2024-11-22,169.27,173.49,161.14,173.46,270150.291
2024-11-23,173.49,184.27,169.84,174.45,343983.151
2024-11-24,174.43,183.56,160.52,171.14,356410.728
2024-11-25,171.18,189.69,165.93,181.45,499107.27
2024-11-26,181.38,184.22,165.42,181.6,381168.624
2024-11-27,181.6,211.09,180.58,210.52,539039.049
2024-11-28,210.53,211.43,197.61,200.19,222480.054
2024-11-29,200.2,202.32,194.68,198.97,162329.086
2024-11-30,198.98,213.11,197.6,211.77,280391.678
2024-12-01,211.88,214.74,202.73,209.24,224809.278
2024-12-02,209.23,241.41,203.92,235.39,702383.006
2024-12-03,235.4,249.35,221.05,240.4,606070.204
2024-12-04,240.42,273.36,236.02,256.43,537039.589
2024-12-05,256.36,266.8,240.05,247.59,369175.298
2024-12-06,247.67,290.97,246.35,281.75,434666.972
2024-12-07,281.71,297.25,278.0,282.2,236385.842
2024-12-08,282.08,285.08,273.82,282.62,153458.025
2024-12-09,282.67,284.32,224.63,260.56,480620.993
2024-12-10,260.48,288.09,245.8,276.49,797541.231
2024-12-11,276.48,307.68,259.81,302.76,411174.822
2024-12-12,302.82,388.52,294.76,367.11,1140491.478
2024-12-13,367.15,390.95,352.91,377.7,585463.492
2024-12-14,377.71,396.45,359.14,365.57,473324.015
2024-12-15,365.6,381.5,355.0,368.48,325592.662
2024-12-16,368.57,399.85,359.4,379.32,614418.432
2024-12-17,379.28,388.01,356.71,361.3,382758.424
2024-12-18,361.31,380.46,336.0,339.73,549452.502
2024-12-19,339.64,350.59,298.96,314.98,653836.069
2024-12-20,315.0,341.0,271.5,329.4,731741.598
2024-12-21,329.41,344.1,294.69,299.13,346105.733
2024-12-22,299.2,323.74,291.02,318.97,307067.675
2024-12-23,318.96,389.11,308.84,383.53,651988.391
2024-12-24,383.51,390.15,365.21,375.14,319465.823
2024-12-25,375.11,386.0,364.61,369.99,210873.228
2024-12-26,370.06,371.92,330.53,337.74,225633.186
2024-12-27,337.71,352.08,320.38,324.01,284815.525
2024-12-28,324.01,362.29,318.74,354.4,225926.455
2024-12-29,354.53,355.83,326.45,332.74,164666.205
2024-12-30,332.77,344.86,318.99,322.06,288106.733
2024-12-31,322.08,328.5,306.0,308.82,251212.136
2025-01-01,308.82,322.99,306.25,319.84,173943.897
2025-01-02,319.84,339.83,318.83,333.5,218282.592
2025-01-03,333.61,356.3,317.18,350.8,207955.403
2025-01-04,350.77,361.28,339.0,351.6,183545.155
2025-01-05,351.66,352.69,339.38,341.7,122069.21
2025-01-06,341.8,355.39,335.86,341.5,169723.77
2025-01-07,341.52,343.32,305.51,306.88,185392.375
2025-01-08,306.89,312.52,275.82,293.31,261567.743
2025-01-09,293.3,299.86,273.29,281.13,227904.151
2025-01-10,281.12,300.9,276.36,285.8,249623.204
2025-01-11,285.78,293.84,280.07,287.2,80313.229
2025-01-12,287.3,296.04,284.64,287.92,78375.505
2025-01-13,287.99,297.03,256.18,289.57,316087.272
2025-01-14,289.62,301.54,285.43,295.52,166640.496
2025-01-15,295.48,323.91,285.65,319.92,238759.852
2025-01-16,319.99,321.49,305.1,311.23,161303.479
2025-01-17,311.25,336.61,310.86,335.19,167317.241
2025-01-18,335.16,341.91,306.25,315.57,220504.431
2025-01-19,315.5,348.18,292.59,309.41,542806.161
2025-01-20,309.41,365.39,296.13,337.53,1016783.784
2025-01-21,337.48,378.49,327.09,370.8,684136.842
2025-01-22,370.71,372.4,345.22,346.65,233350.263
2025-01-23,346.64,350.44,324.31,337.41,275833.043
2025-01-24,337.41,357.56,327.81,334.97,239363.708
2025-01-25,334.98,338.6,326.05,326.42,113108.822
2025-01-26,326.45,336.27,315.79,316.56,111837.022
2025-01-27,316.52,320.56,288.09,305.07,321955.984
2025-01-28,305.07,307.82,280.84,284.16,181046.333
2025-01-29,284.14,301.96,282.55,290.99,216684.912
2025-01-30,291.0,322.42,286.89,315.44,174687.445
2025-01-31,315.49,349.23,312.56,332.71,335111.11
2025-02-01,332.68,333.54,295.0,296.06,167928.935
2025-02-02,296.07,304.77,245.24,258.44,366449.871
2025-02-03,258.45,284.98,192.63,276.45,1127436.263
2025-02-04,276.45,278.33,248.92,272.3,459215.108
2025-02-05,272.3,283.38,256.0,259.71,263653.719
2025-02-06,259.71,266.89,239.23,241.48,213477.233
2025-02-07,241.44,262.1,231.08,238.05,256448.607
2025-02-08,238.06,241.88,231.08,238.84,123643.099
2025-02-09,238.83,252.72,229.75,241.25,184419.346
2025-02-10,241.23,258.0,234.51,252.61,210359.432
2025-02-11,252.62,262.77,242.02,243.75,196526.249
2025-02-12,243.72,261.09,231.76,252.81,212497.201
2025-02-13,252.81,258.17,246.44,256.42,181007.592
2025-02-14,256.42,270.28,253.03,262.61,135543.126
2025-02-15,262.6,263.67,249.59,253.38,63140.469
2025-02-16,253.36,259.0,249.97,253.95,59418.353
2025-02-17,253.91,278.68,249.56,264.57,255620.395
2025-02-18,264.6,266.12,241.59,249.6,177667.031
2025-02-19,249.63,258.41,246.78,252.98,139948.517
2025-02-20,253.01,263.45,251.09,261.28,125911.839
2025-02-21,261.27,269.11,238.59,242.92,258217.285
2025-02-22,242.94,251.76,239.0,247.14,132479.048
2025-02-23,247.15,254.24,243.27,247.7,83526.179
2025-02-24,247.71,249.36,205.22,210.78,232853.204
2025-02-25,210.73,213.55,189.51,205.13,475176.508
2025-02-26,205.14,211.65,192.08,202.55,295382.838
2025-02-27,202.57,210.08,196.61,203.97,146454.592
2025-02-28,203.97,204.56,178.21,192.25,304630.917
2025-03-01,192.25,197.02,183.47,194.99,125176.086
2025-03-02,195.0,227.0,190.06,223.52,312986.775
2025-03-03,223.5,224.42,177.73,180.91,301482.223
2025-03-04,180.94,216.88,167.52,206.7,654727.541
2025-03-05,206.65,226.28,204.27,220.89,379318.7
2025-03-06,220.91,241.83,208.2,208.46,456119.8
2025-03-07,208.49,212.25,195.3,196.64,372747.706
2025-03-08,196.65,199.33,185.13,195.74,246080.737
2025-03-09,195.73,198.23,176.22,178.6,265698.51
2025-03-10,178.61,202.01,175.3,180.36,478366.009
2025-03-11,180.37,186.08,166.98,182.08,509954.743
2025-03-12,182.08,184.37,163.85,174.83,441159.097
2025-03-13,174.79,176.26,160.13,162.81,298320.168
2025-03-14,162.84,177.4,162.06,173.13,248730.998
2025-03-15,173.13,177.35,171.78,173.01,102136.574
2025-03-16,173.0,174.04,163.28,164.72,132975.518
2025-03-17,164.71,178.13,164.55,174.71,173909.92
2025-03-18,174.72,175.33,164.84,170.08,141000.834
2025-03-19,170.09,184.64,169.65,182.49,227825.467
2025-03-20,182.5,183.01,171.52,178.77,175786.773
2025-03-21,178.78,183.32,174.0,178.26,153103.753
2025-03-22,178.27,183.84,178.23,179.77,84609.274
2025-03-23,179.78,186.53,179.45,185.05,112878.785
2025-03-24,185.06,194.73,181.29,190.77,134165.595
2025-03-25,190.76,192.53,185.33,186.67,114808.321
2025-03-26,186.69,190.37,175.13,177.43,185901.176
2025-03-27,177.45,186.23,177.08,184.72,111413.715
2025-03-28,184.76,187.01,168.44,175.83,161365.104
2025-03-29,175.92,180.61,165.82,168.15,176026.568
2025-03-30,168.16,169.57,161.33,163.67,132333.992
2025-03-31,163.68,164.61,151.86,159.59,174133.212
2025-04-01,159.62,171.46,159.16,166.04,153539.609
2025-04-02,166.06,168.99,149.5,150.29,280168.932
2025-04-03,150.24,157.27,146.31,151.13,154185.86
2025-04-04,151.13,154.07,144.38,152.02,196022.179
2025-04-05,151.98,155.46,149.47,152.53,69132.948
2025-04-06,152.52,152.59,126.33,129.0,214453.046
2025-04-07,129.05,136.29,114.05,132.03,596014.993
2025-04-08,132.02,136.14,123.54,125.3,361650.137
2025-04-09,125.32,145.15,119.84,143.15,345619.119
2025-04-10,143.15,143.37,128.21,131.95,290061.213
2025-04-11,131.94,139.47,131.3,136.49,224809.006
2025-04-12,136.48,150.16,133.73,148.1,174860.528
2025-04-13,148.11,148.42,136.6,139.18,159795.965
2025-04-14,139.18,147.23,136.84,137.65,178287.761
2025-04-15,137.66,142.18,133.54,134.23,148674.597
2025-04-16,134.21,137.51,129.81,133.98,160676.004
2025-04-17,133.99,141.57,133.85,138.94,112434.126
2025-04-18,138.93,141.19,137.19,138.42,76592.913
2025-04-19,138.42,143.0,137.93,141.99,66400.56
2025-04-20,142.0,143.52,136.81,140.94,64713.51
2025-04-21,140.94,146.06,139.05,142.86,136874.98
2025-04-22,142.87,159.03,139.75,158.2,204783.652
2025-04-23,158.22,168.91,157.73,168.14,248577.84
2025-04-24,168.12,170.7,158.27,167.92,238796.662
2025-04-25,167.91,170.61,162.87,166.46,216716.797
2025-04-26,166.48,173.2,164.41,172.91,143654.91
2025-04-27,172.95,179.39,165.42,166.62,167845.334
2025-04-28,166.6,174.96,161.78,166.25,203546.061
2025-04-29,166.26,171.31,163.34,165.63,138619.239
2025-04-30,165.61,166.99,155.43,164.19,142427.485
2025-05-01,164.18,179.36,164.15,172.99,177027.897
2025-05-02,172.98,179.3,171.9,174.59,107171.475
2025-05-03,174.6,181.1,169.55,178.06,120276.648
2025-05-04,178.05,178.99,170.88,171.11,102426.493
2025-05-05,171.11,180.91,169.63,176.94,153785.302
2025-05-06,176.91,178.99,163.26,177.82,172834.332
2025-05-07,177.84,180.03,167.42,172.12,157627.163
2025-05-08,172.1,208.46,172.06,206.28,337309.174
2025-05-09,206.27,220.72,202.43,211.24,283918.985
2025-05-10,211.22,230.38,208.83,228.64,208941.792
2025-05-11,228.62,230.54,213.8,221.15,139746.809
2025-05-12,221.19,229.64,211.91,221.87,242807.236
2025-05-13,221.88,238.36,210.29,236.41,179353.002
