2025-10-06 14:27:52 | INFO | DETECTED | ETHUSDT 2d | WobblyJohn1_bull |  Pattern Detected: ETHUSDT |  Wobblyjohn1 Bull Timeframe: 2d Direction: Bullish PRZ: $3811.18 - $3818.81 Distance: 16.3%
2025-10-06 14:27:52 | INFO | DETECTED | ETHUSDT 2d | SFPL_1_bull |  Pattern Detected: ETHUSDT |  Sfpl 1 Bull Timeframe: 2d Direction: Bullish PRZ: $3811.18 - $3818.81 Distance: 16.3%
2025-10-06 14:28:00 | INFO | DETECTED | ETHUSDT 1d | AB=CD_1a_bull |  Pattern Detected: ETHUSDT |  Ab=Cd 1A Bull Timeframe: 1d Direction: Bullish PRZ: $1383.66 - $1386.44 Distance: 69.6%
2025-10-06 14:28:00 | INFO | DETECTED | ETHUSDT 1d | AB=CD_3_bull |  Pattern Detected: ETHUSDT |  Ab=Cd 3 Bull Timeframe: 1d Direction: Bullish PRZ: $1729.97 - $1733.43 Distance: 62.0%
2025-10-06 14:28:01 | INFO | DETECTED | ETHUSDT 1d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 1d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:28:01 | INFO | DETECTED | ETHUSDT 1d | AntiCrab1_bull |  Pattern Detected: ETHUSDT |  Anticrab1 Bull Timeframe: 1d Direction: Bullish PRZ: $2109.78 - $2114.00 Distance: 53.7%
2025-10-06 14:28:01 | INFO | DETECTED | ETHUSDT 1d | AntiButterfly1_bull |  Pattern Detected: ETHUSDT |  Antibutterfly1 Bull Timeframe: 1d Direction: Bullish PRZ: $3350.93 - $3357.63 Distance: 26.4%
2025-10-06 14:28:01 | INFO | DETECTED | ETHUSDT 1d | WobblyJohn1_bull |  Pattern Detected: ETHUSDT |  Wobblyjohn1 Bull Timeframe: 1d Direction: Bullish PRZ: $3350.93 - $3357.63 Distance: 26.4%
2025-10-06 14:28:02 | INFO | DETECTED | ETHUSDT 1d | SFPL_1_bull |  Pattern Detected: ETHUSDT |  Sfpl 1 Bull Timeframe: 1d Direction: Bullish PRZ: $3350.93 - $3357.63 Distance: 26.4%
2025-10-06 14:28:02 | INFO | DETECTED | ETHUSDT 1d | MaxButterfly3_bull |  Pattern Detected: ETHUSDT |  Maxbutterfly3 Bull Timeframe: 1d Direction: Bullish PRZ: $3350.93 - $3357.63 Distance: 26.4%
2025-10-06 14:28:02 | INFO | DETECTED | ETHUSDT 1d | AntiCypher2_bull |  Pattern Detected: ETHUSDT |  Anticypher2 Bull Timeframe: 1d Direction: Bullish PRZ: $3350.93 - $3357.63 Distance: 26.4%
2025-10-06 14:28:02 | INFO | DETECTED | ETHUSDT 1d | AntiButterfly2_bear |  Pattern Detected: ETHUSDT |  Antibutterfly2 Bear Timeframe: 1d Direction: Bullish PRZ: $4764.59 - $4774.13 Distance: 4.4%
2025-10-06 14:28:03 | INFO | DETECTED | ETHUSDT 1d | Cypher1_bear |  Pattern Detected: ETHUSDT |  Cypher1 Bear Timeframe: 1d Direction: Bullish PRZ: $4764.59 - $4774.13 Distance: 4.4%
2025-10-06 14:28:03 | INFO | DETECTED | ETHUSDT 1d | Cypher2_bear |  Pattern Detected: ETHUSDT |  Cypher2 Bear Timeframe: 1d Direction: Bullish PRZ: $4764.59 - $4774.13 Distance: 4.4%
2025-10-06 14:28:03 | INFO | APPROACHING | ETHUSDT 1d | Cypher2_bear |  Approaching PRZ: ETHUSDT |  Cypher2 Bear Timeframe: 1d Current Price: $4562.31 PRZ: $4764.59 - $4774.13 Distance: 4.4%
2025-10-06 14:28:04 | INFO | APPROACHING | ETHUSDT 1d | Cypher1_bear |  Approaching PRZ: ETHUSDT |  Cypher1 Bear Timeframe: 1d Current Price: $4562.31 PRZ: $4764.59 - $4774.13 Distance: 4.4%
2025-10-06 14:28:04 | INFO | APPROACHING | ETHUSDT 1d | AntiButterfly2_bear |  Approaching PRZ: ETHUSDT |  Antibutterfly2 Bear Timeframe: 1d Current Price: $4562.31 PRZ: $4764.59 - $4774.13 Distance: 4.4%
2025-10-06 14:28:07 | INFO | DETECTED | HYPEUSDT 1d | AB=CD_1b_bear |  Pattern Detected: HYPEUSDT |  Ab=Cd 1B Bear Timeframe: 1d Direction: Bullish PRZ: $59.57 - $59.69 Distance: 22.1%
2025-10-06 14:28:07 | INFO | DETECTED | HYPEUSDT 1d | BukuT3_bull |  Pattern Detected: HYPEUSDT |  Bukut3 Bull Timeframe: 1d Direction: Bullish PRZ: $35.46 - $35.53 Distance: 27.2%
2025-10-06 14:28:07 | INFO | DETECTED | HYPEUSDT 1d | AntiShark4_bull |  Pattern Detected: HYPEUSDT |  Antishark4 Bull Timeframe: 1d Direction: Bullish PRZ: $35.46 - $35.53 Distance: 27.2%
2025-10-06 14:28:07 | INFO | DETECTED | HYPEUSDT 1d | AntiShark4_bull |  Pattern Detected: HYPEUSDT |  Antishark4 Bull Timeframe: 1d Direction: Bullish PRZ: $35.46 - $35.53 Distance: 27.2%
2025-10-06 14:28:08 | INFO | DETECTED | HYPEUSDT 1d | AntiBat2_bull |  Pattern Detected: HYPEUSDT |  Antibat2 Bull Timeframe: 1d Direction: Bullish PRZ: $39.68 - $39.76 Distance: 18.5%
2025-10-06 14:28:08 | INFO | DETECTED | HYPEUSDT 1d | 8_3_bull |  Pattern Detected: HYPEUSDT |  8 3 Bull Timeframe: 1d Direction: Bullish PRZ: $39.68 - $39.76 Distance: 18.5%
2025-10-06 14:28:08 | INFO | DETECTED | HYPEUSDT 1d | AntiBat2_bull |  Pattern Detected: HYPEUSDT |  Antibat2 Bull Timeframe: 1d Direction: Bullish PRZ: $39.68 - $39.76 Distance: 18.5%
2025-10-06 14:28:08 | INFO | DETECTED | HYPEUSDT 1d | 8_3_bull |  Pattern Detected: HYPEUSDT |  8 3 Bull Timeframe: 1d Direction: Bullish PRZ: $39.68 - $39.76 Distance: 18.5%
2025-10-06 14:30:19 | INFO | DETECTED | XLMUSDT 1d | AB=CD_3_bear |  Pattern Detected: XLMUSDT |  Ab=Cd 3 Bear Timeframe: 1d Direction: Bullish PRZ: $0.80 - $0.80 Distance: 97.4%
2025-10-06 14:30:19 | INFO | DETECTED | XLMUSDT 1d | AB=CD_6b_bear |  Pattern Detected: XLMUSDT |  Ab=Cd 6B Bear Timeframe: 1d Direction: Bullish PRZ: $0.41 - $0.41 Distance: 2.4%
2025-10-06 14:30:19 | INFO | APPROACHING | XLMUSDT 1d | AB=CD_6b_bear |  Approaching PRZ: XLMUSDT |  Ab=Cd 6B Bear Timeframe: 1d Current Price: $0.40 PRZ: $0.41 - $0.41 Distance: 2.4%
